Id_s;Imie;Nazwisko;Miasto
1;Ada;Adamska;Łódź
2;Agata;Agatowska;Łódź
3;Alicja;Alicjowska;Łódź
4;Alina;Alinowska;Zgierz
5;Beata;Beatowska;Pabianice
6;Bożena;Bożeńska;Łódź
7;Cecylia;Cecylska;Łódź
8;Celina;Celińska;Pabianice
9;Danuta;Danutowska;Szadek
10;Daria;Dariowska;Szadek
11;Dorota;Dorocińska;Szadek
12;Gizela;Gizelowska;Łódź
13;Halina;Halińska;Łódź
14;Ida;Idzińska;Łódź
15;Iwona;Iwańska;Łódź
16;Jagoda;Jagodzińska;Łódź
17;Janina;Jankowska;Łódź
18;Jolanta;Jolańska;Łódź
19;Kamila;Kamińska;Łódź
20;Kornelia;Koryńska;Zgierz
21;Kinga;Kingańska;Łódź
22;Klara;Klarowska;Łódź
23;Laura;Laurowicz;Łódź
24;Leonia;Leonidas;Zgierz
25;Liwia;Liwońska;Łódź
26;Luiza;Luizińska;Łódź
27;Łucja;Łucjańska;Pabianice
28;Maja;Majowska;Łódź
29;Malwina;Malwińska;Łódź
30;Małgorzana;Małgońska;Łódź
31;Maria;Mariańska;Łódź
32;Maryna;Maryńska;Szadek
33;Milena;Mileńska;Łódź
34;Mira;Miroń;Łódź
35;Maryla;Marylak;Łódź
36;Marzena;Marzyńska;Stryków
37;Marta;Martoń;Stryków
38;Mariola;Mariolska;Szadek
39;Mirka;Mirkowska;Łódź
40;Monika;Mońska;Łódź
41;Nadia;Nadiowicz;Łódź
42;Nela;Nelicz;Łódź
43;Nikola;Nikolowicz;Zgierz
44;Nina;Ninowska;Łódź
45;Nora;Norek;Zgierz
46;Ofelia;Ofelińska;Łódź
47;Oktawia;Oktawska;Łódź
48;Olga;Olgińska;Łódź
49;Oliwia;Oliwicz;Zgierz
50;Otylia;Otylska;Szadek
51;Patrycja;Patryńska;Łódź
52;Pelagia;Pelińska;Łódź
53;Pola;Polańska;Szadek
54;Ramona;Ramowicz;Łódź
55;Regina;Regińska;Zgierz
56;Renata;Ronatowicz;Łódź
57;Roma;Romańska;Łódź
58;Rozalia;Rozalińska;Łódź
59;Sabina;Sabczuk;Zgierz
60;Sara;Saryńska;Łódź
61;Adam;Adamski;Łódź
62;Alan;Alański;Łódź
63;Albin;Albiński;Łódź
64;Aloizy;Aloizek;Zgierz
65;Anatol;Anatolowicz;Łódź
66;Andrzej;Andrzejczyk;Łódź
67;Antoni;Antonowicz;Stryków
68;Anzelm;Snzelmczyk;Łódź
69;Artur;Artuński;Łódź
70;Bazyli;Bazyl;Łódź
71;Borys;Borysyński;Łódź
72;Bruno;Bruński;Szadek
73;Cezary;Cezarczyk;Zgierz
74;Cyprian;Cypriański;Łódź
75;Cyryl;Cyrylski;Łódź
76;Damian;Damiański;Łódź
77;Daniel;Danielewicz;Łódź
78;Dionizy;Dionizowicz;Łódź
79;Edgar;Edgarski;Łódź
80;Emil;Emilewicz;Szadek
81;Eryk;Eryński;Łódź
82;Edward;Edwardowski;Łódź
83;Fabian;Fabiański;Łódź
84;Feliks;Feliński;Łódź
85;Filip;Filipowicz;Łódź
86;Fryderyk;Fryc;Łódź
87;Gaweł;Gawłowski;Łódź
88;Gotard;Gotarski;Zgierz
89;Grzegorz;Grzegorczyk;Szadek
90;Gustaw;Gustowny;Łódź
