"id_gosc";"imie";"nazwisko";"adres";"miasto";"email";"numer_telefonu"
1;"Jan";"Kowalski";"ul. Lipowa 112";"Warszawa";"jan.kowalski@example.com";"123-456-789"
2;"Anna";"Nowak";"ul. Kwiatowa 8";"Kraków";"anna.nowak@example.com";"234-567-890"
3;"Micha³";"Wiœniewski";"ul. Podleœna 15";"Kalisz";"michal.wisniewski@example.com";"345-678-901"
4;"Katarzyna";"Kaczmarek";"ul. Szkolna 32";"Wroc³aw";"katarzyna.kaczmarek@example.com";"456-789-012"
5;"Piotr";"Lewandowski";"ul. Ogrodowa 211";"Poznañ";"piotr.lewandowski@example.com";"567-890-123"
6;"Ma³gorzata";"Wójcik";"ul. Polna 10";"Kalisz";"malgorzata.wojcik@example.com";"678-901-234"
7;"Krzysztof";"Kamiñski";"ul. Miodowa 37";"£ódŸ";"krzysztof.kaminski@example.com";"789-012-345"
8;"Agnieszka";"Zieliñska";"ul. Brzozowa 25";"Szczecin";"agnieszka.zielinska@example.com";"890-123-456"
9;"Andrzej";"Szymañski";"ul. Rycerska 18";"Lublin";"andrzej.szymanski@example.com";"901-234-567"
10;"Marta";"WoŸniak";"ul. Dêbowa 1";"Bydgoszcz";"marta.wozniak@example.com";"012-345-678"
11;"Marek";"D¹browski";"ul. Szewska 124";"Rzeszów";"marek.dabrowski@example.com";"123-456-789"
12;"Antonina";"Jankowska";"ul. Zimowa 9";"Koszalin";"antonina.jankowska@example.com";"234-567-890"
13;"Tomasz";"Majewski";"ul. Ogrodnicza 4";"Kielce";"tomasz.majewski@example.com";"345-678-901"
14;"Monika";"Adamczyk";"ul. Akacjowa 17";"Olsztyn";"monika.adamczyk@example.com";"456-789-012"
15;"Pawe³";"Nowakowski";"ul. S³oneczna 23";"Pabianice";"pawel.nowakowski@example.com";"567-890-123"
16;"Julia";"Pawlak";"ul. Jasna 114";"Opole";"julia.pawlak@example.com";"678-901-234"
