Lp.	Imiê	Nazwisko	Typ pokoju	Przyjazd 	Wyjazd
1	Mateusz	Kamiñski	2	01.05.2025	03.05.2025
2	Weronika	Ko³odziejska	3	10.05.2025	15.05.2025
3	Jan	Kowalczyk	2	01.06.2025	04.06.2025
4	Monika	Górska	2	26.05.2025	28.05.2025
5	Agnieszka	Koniec	1	18.05.2025	21.05.2025
6	Adrian	Ziomek	3	08.06.2025	09.06.2025
7	Karolina	Jab³oñska	3	10.05.2025	15.05.2025
8	Marcin	Zaj¹c	2	17.06.2025	19.06.2025
9	Weronika	Kamiñska	2	01.07.2025	03.07.2025
10	Micha³	Wiœniowiecki	2	01.05.2025	03.05.2025
11	Weronika	Kotliñska	4	15.07.2025	18.07.2025
12	Anna	Wiœniewska	1	05.05.2025	09.05.2025
13	Micha³	Paw³owski	2	01.06.2025	04.06.2025
14	Katarzyna	Figurska	1	05.05.2025	09.05.2025
15	Mateusz	Kaktus	1	05.05.2025	09.05.2025
16	Barbara	Krawczyk	1	01.05.2025	03.05.2025
17	Andrzej	Kowal	2	05.05.2025	09.05.2025
18	Rafa³	Lewandowski	2	05.05.2025	09.05.2025
19	Ewa	Rutkowska	2	05.05.2025	09.05.2025
20	Zofia	Gumilak	2	01.07.2025	03.07.2025
21	Karolina	Lewandowska	2	17.06.2025	19.06.2025
22	Piotr	Kominski	2	01.06.2025	04.06.2025
23	Magdalena	Wiercioch	3	10.05.2025	15.05.2025
24	Joanna	Wójcik	4	15.07.2025	18.07.2025
25	£ukasz	Michalski	2	05.05.2025	09.05.2025
26	Krzysztof	Grabowski	2	05.05.2025	09.05.2025
27	Andrzej	Piotrowski	3	05.05.2025	09.05.2025
28	Natalia	Wojciechowska	3	05.05.2025	09.05.2025
29	Karolina	Rucka	3	05.05.2025	09.05.2025
30	Adrian	Król	1	15.07.2025	18.07.2025
31	Katarzyna	Pitek	2	01.07.2025	03.07.2025
32	Ewa	Zaj¹czkowska	4	17.06.2025	19.06.2025
33	Monika	Wojcieszek	2	01.06.2025	04.06.2025
34	Andrzej	Ko³odziej	3	05.05.2025	09.05.2025
35	Mateusz	Pyæ	4	05.05.2025	09.05.2025
36	Piotr	Lowelas	4	05.05.2025	09.05.2025
37	Anna	WoŸniak	1	18.05.2025	21.05.2025
38	Jakub	Kaminski	2	26.05.2025	28.05.2025
39	Jakub	Szlam	2	17.06.2025	19.06.2025
40	Krzysztof	Wojna	2	20.06.2025	22.06.2025
41	£ukasz	Lawa	2	20.06.2025	22.06.2025
42	Agnieszka	WoŸniacka	2	20.06.2025	22.06.2025
43	Micha³	Wójcki	2	20.06.2025	22.06.2025
44	Katarzyna	Koz³owska	2	20.06.2025	22.06.2025
45	Aleksandra	Wiœnia	1	15.07.2025	18.07.2025
46	Krzysztof	Wojnarowski	2	01.06.2025	04.06.2025
47	Ewa	D¹browska	3	08.06.2025	09.06.2025
48	Magdalena	Szymañska	2	26.05.2025	28.05.2025
49	Aleksandra	Wojciaszek	2	20.06.2025	22.06.2025
50	Katarzyna	Bobrowska	2	20.06.2025	22.06.2025
51	Anna	Janeczek	2	20.06.2025	22.06.2025
52	Magdalena	Kwiatkowska	1	20.06.2025	22.06.2025
53	Marcin	Wenerski	1	20.06.2025	22.06.2025
54	Micha³	D¹browski	4	17.06.2025	19.06.2025
55	Marek	Zaj¹czek	1	18.05.2025	21.05.2025
56	Sylwia	Kozio³	1	15.07.2025	18.07.2025
57	Anna	Koñski	3	25.06.2025	29.06.2025
58	Joanna	Szymanowska	3	25.06.2025	29.06.2025
59	Monika	WoŸnicka	2	01.06.2025	04.06.2025
60	Adrian	Mazurek	2	01.06.2025	04.06.2025
61	Marek	Krawiec	3	01.05.2025	03.05.2025
62	Agnieszka	Krolska	3	10.05.2025	15.05.2025
63	Monika	Jab³czyñska	4	08.06.2025	09.06.2025
64	Sylwia	Kawalerska	1	15.07.2025	18.07.2025
65	Barbara	Baranowska 	3	25.06.2025	29.06.2025
66	Rafa³	Krokus	3	25.06.2025	29.06.2025
67	Monika	Krawiruk	2	25.06.2025	29.06.2025
68	Marcin	Kierwiñski	2	25.06.2025	29.06.2025
69	Karolina	Szyszko	2	25.06.2025	29.06.2025
70	Jan	Woroch	4	18.05.2025	21.05.2025
71	Pawe³	Ko³odziejczyk	2	25.06.2025	29.06.2025
72	Adrian	Witych	2	25.06.2025	29.06.2025
73	Agnieszka	Inka	2	25.06.2025	29.06.2025
74	Monika	Cytek	2	25.06.2025	29.06.2025
75	Magdalena	Zalatana	2	26.05.2025	28.05.2025
76	Katarzyna	Mazur	2	01.07.2025	03.07.2025
77	Adrian	Wieczorek	2	25.06.2025	29.06.2025
78	Tomasz	Komorek	1	25.06.2025	29.06.2025
79	Marcin	Widera	1	25.06.2025	29.06.2025
80	Pawe³	RaŸna	1	25.06.2025	29.06.2025
81	Karolina	Michalska	1	05.07.2025	07.07.2025
82	Marek	Kmieæ	2	26.05.2025	28.05.2025
83	Agnieszka	Darmach	4	08.06.2025	09.06.2025
84	Natalia	Gloster	3	01.05.2025	03.05.2025
85	Maria	Jankowska	1	05.07.2025	07.07.2025
86	£ukasz	Janiszek	1	05.07.2025	07.07.2025
87	Zofia	Zieliñska	1	05.07.2025	07.07.2025
88	Karolina	Sikora	3	05.07.2025	07.07.2025
89	Micha³	Kiliañski	3	05.07.2025	07.07.2025
90	Katarzyna	Gerber	3	05.07.2025	07.07.2025
91	Andrzej	Lorek	3	05.07.2025	07.07.2025
92	Andrzej	Watacha	2	10.07.2025	14.07.2025
93	Mateusz	Sikorka	3	15.07.2025	18.07.2025
94	Weronika	Wieczorkowska	1	01.07.2025	03.07.2025
95	Aleksandra	Kita	1	18.05.2025	21.05.2025
96	Anna	Sulima	2	10.07.2025	14.07.2025
97	Katarzyna	Styœ	2	10.07.2025	14.07.2025
98	Piotr	Grzybek	2	10.07.2025	14.07.2025
99	Pawe³	Romb	2	10.07.2025	14.07.2025
100	Andrzej	Puzio	2	10.07.2025	14.07.2025
101	Maria	Zalech	3	10.07.2025	14.07.2025
102	Krzysztof	Suski	3	10.07.2025	14.07.2025
103	Barbara	Wazon	3	10.07.2025	14.07.2025
104	Marcin	Komuszy	3	08.06.2025	09.06.2025
105	Adrian	Wojaszek	2	26.05.2025	28.05.2025
106	Sylwia	Ruda	3	15.07.2025	18.07.2025
107	Piotr	Wojtera	3	10.07.2025	14.07.2025
108	Jakub	Czech	1	10.07.2025	14.07.2025
109	Micha³	Wo³os	1	20.07.2025	21.07.2025
110	Rafa³	Skorek	2	26.05.2025	28.05.2025
111	Weronika	Wojas	1	20.07.2025	21.07.2025
